ID,政策名称,领域,年份,政策对象,处理组定义,对照组定义,冲击时间,数据合并键,推荐方法,识别风险类型,可用数据源,主要因变量,推荐等级,官方来源URL,备注/下一步核验
16,绿色金融改革创新试验区,绿色低碳与环境治理,2017,试验区城市、绿色企业、金融机构,浙江、江西、广东、贵州、新疆等试验区内企业或金融机构,非试验区城市；同省未纳入地区,2017 年国务院常务会议决定，后续七部委印发总体方案,城市代码、企业代码、金融机构网点、绿色项目,多期 DID / 城市-企业 DID,试验区选择具有绿色金融基础和地方政策积极性,上市公司、绿色债券、绿色信贷、城市统计年鉴、专利数据,绿色融资、绿色创新、融资成本、碳排放,A,https://www.mee.gov.cn/xxgk/hjyw/201706/t20170615_416061.shtml,需收集各试验区具体城市和批复方案
17,中央生态环境保护督察,绿色低碳与环境治理,2016,省份、城市、企业、污染源,被督察省份及其高污染企业；更好定义为督察进驻 × 企业污染暴露,尚未督察省份或低污染企业,2016 年第一批开始，后续分批进驻,省份、城市、企业代码、行业污染强度,多期 DID / DDD,督察批次可能非随机；企业可能提前治理；处罚数据有选择性执法问题,督察批次、环保处罚、排污许可、重点排污单位、空气质量、企业数据,污染排放、环保投资、绿色创新、产出、就业,A,https://www.mee.gov.cn/gkml/sthjbgw/qt/201607/t20160719_360975.htm,应至少区分省份进驻、城市执法和企业污染暴露三层
18,排污许可制改革,绿色低碳与环境治理,2016,排污单位、行业、企业,纳入排污许可管理行业中的企业；可按行业分步核发许可证时间构造处理,尚未纳入或低污染行业企业,2016-11-10 实施方案印发；行业分步推进,企业代码、排污许可证编号、行业代码、地区代码,行业分步 DID / 企业处理强度,许可证核发与行业污染风险相关；执行强度地区差异大,全国排污许可证管理信息平台、企业数据、环保处罚、排放数据,排放、环保投资、生产率、企业退出、绿色创新,A,https://www.mee.gov.cn/ywgz/pwxkgl/ygzc/201811/t20181128_675285.shtml,需整理行业纳入时间表
19,环境保护税法,绿色低碳与环境治理,2018,直接排放应税污染物的企业,排污费改税后税额标准提高或污染排放强度高的企业,低污染企业或税额标准变化小地区企业,2018-01-01 施行,企业代码、地区、污染物类型、税额标准,暴露度 DID / 地区税额强度设计,全国同步实施；需利用省级税额差异或企业污染暴露度,税务数据、排污数据、环保处罚、上市公司、工业企业数据,污染治理、绿色创新、税负、成本转嫁、企业退出,A,https://www.mee.gov.cn/xxgk/hjyw/201612/t20161226_369540.shtml,省级税额标准是构造强度的关键
20,第三批国家低碳城市试点,绿色低碳与环境治理,2017,试点城市、企业、居民,入选第三批低碳城市试点的城市或区县,未入选城市；最好用匹配或合成控制增强可比性,2017-01-24 通知发布,城市代码、区县代码、企业地址,多期 DID / 合成控制,试点选择考虑工作基础和示范性，非随机,城市统计年鉴、碳排放核算、夜间灯光、企业数据、专利数据,碳排放、产业结构、绿色创新、能源效率,A,https://www.ndrc.gov.cn/xxgk/zcfb/tz/201701/t20170124_962888.html,前三批合并使用时需处理批次差异
21,全国碳排放权交易市场启动,绿色低碳与环境治理,2021,发电行业重点排放单位,纳入全国碳市场的发电行业重点排放单位,未纳入行业或低排放发电企业；可与地方试点碳市场比较,2021-07-16 正式上线交易,企业代码、机组、行业、碳配额账户,行业 DID / 企业暴露度 DID,初期只纳入发电行业；纳入企业本身是重点排放单位,全国碳市场数据、重点排放单位名单、上市公司、发电企业数据,减排、能源效率、绿色投资、发电成本、碳资产管理,A,https://www.mee.gov.cn/ywgz/ydqhbh/wsqtkz/202112/t20211231_965906.shtml,最好结合地方试点碳市场历史作为参照
22,长江保护法实施,绿色低碳与环境治理,2021,长江流域地区、化工企业、港口航运企业,长江流域相关县市和重点行业企业,非长江流域相似地区或非重点行业企业,2021-03-01 施行,县区代码、流域边界、企业地址、行业代码,流域 DID / 空间断点 / DDD,流域边界与经济地理条件相关；政策与长江经济带治理叠加,企业数据、区县统计、环境质量、港口航运、化工园区数据,污染治理、企业搬迁、产业结构、航运、生态修复,B,https://www.mee.gov.cn/ywgz/fgbz/fl/202012/t20201227_814985.shtml,建议结合流域边界和重点行业构造处理
23,国家大数据综合试验区,数字经济、数据与平台治理,2016,试验区省份/城市、数字企业,贵州及后续国家大数据综合试验区地区企业,未获批地区或尚未获批地区企业,2016 年贵州获批；后续多区域批复,城市/省份代码、企业地址、数字产业分类,多期 DID / 合成控制,试点地区数字基础和政策积极性较强，选择非随机,企业注册、上市公司、城市统计、数字经济指标、专利、招聘数据,数字产业集聚、企业上云、创新、就业、生产率,B,https://www.ndrc.gov.cn/xwdt/ztzl/szhzxhbxd/zxal/202007/t20200703_1233042.html,需要补全第二批试验区名单及批复日期
24,5G 商用牌照发放与网络部署,数字经济、数据与平台治理,2019,城市、运营商、数字企业、行业用户,5G 基站密度高、率先覆盖城市或 5G 依赖行业企业,基站密度低或覆盖较晚地区/企业,2019-06-06 发放 5G 商用牌照；实际冲击随基站部署展开,城市代码、基站位置、企业地址、行业代码,暴露度 DID / 基站覆盖强度,数字基础好的城市更早部署，也更容易受益；处理变量与结果变量共同受基础条件驱动,工信部、运营商基站数据、招聘数据、企业数据、专利数据,数字化转型、就业结构、创新、生产率、产业集聚,B,https://www.sasac.gov.cn/n2588025/n2588139/c11432389/content.html,不能简单用试点城市；更适合用基站密度或行业技术依赖
25,国家新一代人工智能创新发展试验区,数字经济、数据与平台治理,2019,试验区城市、AI 企业、传统企业,获批 AI 创新发展试验区城市中的企业；可按获批批次处理,未获批或尚未获批城市企业,2019 年北京、上海等先后获批；后续扩展至多个城市,城市代码、企业地址、AI 产业分类、专利分类,多期 DID / 城市-企业 DID,试验区选择与 AI 基础、科研资源和产业基础相关,科技部批复、企业注册、专利、招聘、上市公司数据,AI 创新、数字化转型、就业技能结构、融资,B,https://www.most.gov.cn/xxgk/xinxifenlei/fdzdgknr/qtwj/qtwj2019/201902/t20190...,应同时整理北京、上海及后续城市批复文件
26,数据安全法与个人信息保护法,数字经济、数据与平台治理,2021,平台企业、APP、数据密集型企业,数据密集度高、用户数据依赖强、APP 权限收集多的企业,数据依赖较低企业或传统行业企业,数据安全法 2021-09-01；个人信息保护法 2021-11-01,证券代码、APP 名称、企业名称、行业代码,暴露度 DID / 事件研究,全国性法律无自然对照组；需构造数据密集度或隐私合规压力,APP 权限数据、上市公司、平台企业数据、处罚公告、隐私政策文本,估值、合规成本、数据使用、广告收入、创新,B,https://flk.npc.gov.cn/detail?fileId=&id=ff80818179f5e0800179f885c7e70392&tit...,个人信息保护法源：https://flk.npc.gov.cn/detail?fileId=&id=ff8081817b6472a3017b656cc20...
27,专精特新“小巨人”企业培育,产业政策与创新政策,2018,中小企业、制造业细分行业,入选国家级专精特新“小巨人”的企业；也可用政策前符合条件企业构造候选组,未入选但相似的省级专精特新或普通中小企业,2018 年启动培育；按批次公布名单,企业名称、统一社会信用代码、行业代码,匹配 DID / 候选企业设计,入选企业强选择，不能直接解释为政策因果效应,工信部名单、企业工商、专利、财务、融资数据、北交所数据,创新、融资、成长性、上市概率、生产率,B,https://zjtx.miit.gov.cn/zxqySy/tzggView?id=4582181d4e22415b89dd731bd714408f,适合作为政策支持资格冲击，但需处理遴选偏差
28,新能源汽车补贴退坡,产业政策与创新政策,2017,新能源汽车企业、车型、消费者,补贴退坡幅度较大的车型/企业；或政策门槛约束更强车型,退坡较小、公共交通特殊领域或不受补贴影响车型,2017 起调整，2020-2022 按既定节奏退坡,车型、企业、公告批次、销量、补贴标准,产品层面 DID / 价格冲击设计,补贴退坡与技术门槛同时变化，企业预期强,工信部车型目录、乘联会销量、上市公司、补贴清算、专利数据,销量、价格、技术升级、研发、企业绩效,B,https://www.most.gov.cn/tztg/201701/t20170116_130495.html,应尽量车型层面构造补贴变化，而非企业粗处理
29,“双减”政策,民生、劳动、教育与医疗,2021,义务教育阶段学科培训机构、家庭、教师,学科类校外培训机构、教培行业就业者、培训需求高地区,非学科类培训机构、成人教育机构或低暴露地区,2021-07-24 意见发布,企业名称、行业代码、城市、家庭教育支出,DID / 事件研究 / 行业冲击,政策冲击强但全国同步；需按学科培训暴露度构造处理强度,企业注册、招聘数据、教培上市公司、家庭调查、城市教育资源,企业退出、就业、家庭支出、房价、教育不平等,A,https://www.mee.gov.cn/zcwj/zyygwj/202107/t20210724_849863.shtml,注意政策覆盖对象和非学科培训边界
30,国家组织药品集中带量采购,民生、劳动、教育与医疗,2018,药品、药企、医院、城市,纳入集采药品、中选企业、试点城市药品市场,未纳入药品、未中选企业、非试点城市,2018 年 4+7 试点，后续国家集采批次推进,药品通用名、规格、企业名称、城市、医院,DDD / 产品-企业暴露度 DID,药品和企业层级必须精确；中选与未中选效应方向不同,医保局集采结果、医院采购、药品销售、上市公司年报、研发数据,药价、销量、销售费用、研发、利润、医保支出,A,https://www.nhsa.gov.cn/art/2018/12/8/art_147_857.html,适合写成产品层面的标准样板
31,DRG/DIP 医保支付方式改革,民生、劳动、教育与医疗,2021,统筹地区、医院、病种,纳入 DRG/DIP 实际付费的统筹地区、医院或病种,尚未纳入或推进较慢地区、医院、病种,2022-2024 三年行动计划分批推进,统筹地区、医院、病种编码、医保结算数据,多期 DID / 医院-病种 DID,推进进度与地区医保治理能力相关；医院选择非随机,医保结算、医院财务、病案首页、地区医保局公告,医疗费用、住院天数、服务质量、医院行为、医保基金支出,B,https://www.nhsa.gov.cn/art/2021/11/26/art_37_7406.html,需要较强数据权限，公开数据难度较高
32,渐进式延迟法定退休年龄,民生、劳动、教育与医疗,2025,劳动者、企业、出生队列,受延迟退休影响更大的出生队列、性别和职业群体,影响较小或尚未受影响队列,2025-01-01 起实施，按出生队列渐进推进,出生年月、性别、职业、社保缴费、企业用工,出生队列设计 / cohort DID,政策已预期；劳动供给、岗位需求与队列趋势交织,劳动力调查、社保数据、企业用工、家庭调查、招聘数据,劳动供给、退休、储蓄、企业用工、青年就业,B,https://www.gov.cn/yaowen/liebiao/202409/content_6974294.htm,需要按政策表精确计算个人受影响月数
33,大规模设备更新和消费品以旧换新,产业政策与创新政策,2024,设备投资企业、汽车家电消费者、地方政府,设备更新重点行业、以旧换新品类、地方补贴强度高地区,非重点行业、未纳入品类或补贴强度低地区,2024-03-07 行动方案印发，地方细则陆续实施,行业代码、产品类别、城市/省份、企业代码,地区补贴强度 DID / 产品类别 DID,政策与宏观需求刺激叠加；地方执行强度内生,上市公司、工业企业、汽车/家电销量、地方补贴公告、固定资产投资,设备投资、耐用品消费、企业订单、绿色更新,B,https://www.mee.gov.cn/zcwj/gwywj/202403/t20240318_1068594.shtml,2024 后政策，未来需持续更新地方细则
